,IYT NODROP,IYT CONV10,IYT MAX10,IYT FLAT10,IYT DENSE10,,IYT CONV20,IYT MAX20,IYT FLAT20,IYT DENSE20,,IYT CONV30,IYT MAX30,IYT FLAT30,IYT DENSE30,,IYT CONV50,IYT MAX50,IYT FLAT50,IYT DENSE50
0,,2.517976588,2.561621759,2.52600738,2.470767826,,2.544584775,2.42195006,2.54829731,2.501731913,,2.571616569,2.509082586,2.502659429,2.501731913,,2.562280438,2.544451168,2.402139332,2.516338388
1,,2.596232421,2.652132913,2.561354974,2.631403942,,2.580711625,2.642575473,2.637025763,2.683366008,,2.572918676,2.592664194,2.551180706,2.683366008,,2.494508107,2.623762331,2.604711535,2.598810755
2,,2.68219462,2.65883796,2.669202733,2.701434043,,2.643442618,2.65901315,2.703488503,2.686264629,,2.709924587,2.608926965,2.552172101,2.686264629,,2.694450093,2.704393495,2.675530895,2.684727536
3,,2.698294039,2.73892505,2.710739809,2.713879397,,2.72889631,2.690125491,2.706032996,2.804009385,,2.72555671,2.729963069,2.710619974,2.804009385,,2.730124186,2.740427109,2.74351854,2.746923101
4,,2.782171741,2.842410759,2.839119934,2.821422331,,2.778810406,2.790185081,2.726033805,2.822164108,,2.814944859,2.78171606,2.734928216,2.822164108,,2.806667958,2.777418413,2.740364049,2.81003535
5,,2.755495806,2.84520198,2.844615698,2.806620377,,2.783527416,2.833969126,2.725947984,2.814793522,,2.826872204,2.888849987,2.830109291,2.814793522,,2.809931699,2.796574931,2.812726177,2.854081424
6,,2.862926055,2.826418279,2.882659941,2.881144319,,2.805034555,2.849782703,2.779998752,2.873421613,,2.846829061,2.828940962,2.834992253,2.873421613,,2.827437664,2.83298404,2.831211051,2.905479999
7,,2.835363659,2.89149658,2.840361073,2.932708155,,2.913342262,2.876670568,2.942418935,2.894102562,,2.795838855,2.914754357,2.901199652,2.894102562,,2.822246112,2.834913962,2.879322037,2.841971413
8,,2.919952859,2.925295879,2.918802529,2.941627789,,2.871910429,2.856095378,2.901993367,2.92228005,,2.915703048,2.879946074,2.880851001,2.92228005,,2.871272732,2.863894759,2.875070178,2.957273524
9,,2.938769756,2.914728175,2.959645082,2.941331033,,2.914044701,2.884022215,2.955216239,2.910593464,,2.906828339,2.890986511,2.914149028,2.910593464,,2.885648737,2.848532646,2.836677097,2.943657929
10,,2.942657671,2.959978368,2.940240756,2.986323631,,2.906574409,2.940815798,2.953076602,2.917187047,,2.913670254,2.92888578,2.944313928,2.917187047,,2.877469973,2.860491636,2.901562704,2.962851675
11,,2.954832518,2.9691658,2.917670913,3.009159207,,2.927334299,2.957429288,2.997129895,2.988979565,,2.94173653,2.945849908,2.967215879,2.988979565,,2.881748882,2.863075291,2.923585161,2.932863145
12,,2.969041264,3.007659787,2.978744695,2.925797414,,2.989996237,2.916029079,2.973518444,2.962142542,,2.949936832,2.968474442,2.999680274,2.962142542,,2.921968937,2.885913664,2.935275547,2.981063197
13,,2.996185217,2.985965304,2.982804307,2.936208779,,2.976696041,2.987474252,3.022798686,2.976062589,,2.989333965,2.99074746,2.956791808,2.976062589,,2.901199404,2.92431306,2.95106889,2.940154928
14,,2.982178803,2.965829589,2.997442197,3.026701675,,2.963535356,2.971012976,2.99555844,3.02705427,,2.927464562,2.977837443,2.982389521,3.02705427,,2.948011862,2.9129423,2.949029949,2.999527884
15,,3.033927035,3.02077289,2.987375919,3.012920038,,3.021453644,3.024271173,3.038247031,3.036445447,,3.026981943,2.961306493,2.975772899,3.036445447,,2.969145984,2.922013088,2.952244911,3.022044862
16,,3.036048222,3.067119735,3.064846524,3.05048434,,3.046190652,3.036200375,2.992424099,3.050465206,,2.883309567,2.989151856,2.989467826,3.050465206,,2.981129169,2.933719364,2.976976027,3.057912798
17,,3.040774916,3.023563658,3.049061778,3.044822659,,3.027930293,3.072753654,3.07921816,3.036789051,,2.978431965,2.989225037,2.996918062,3.036789051,,2.977063594,2.919009064,2.988318335,3.075073933
18,,3.082383295,3.051198327,3.078286894,3.033239051,,3.051051794,3.044845668,3.044221578,3.075981727,,3.020505511,3.022718829,3.019781596,3.075981727,,3.034357926,2.966868982,2.965210517,3.033043099
19,,3.065925928,3.082943296,3.066857147,3.076701329,,3.044576313,3.022531454,3.04675653,3.049298223,,3.034470157,3.030785099,3.012506533,3.049298223,,3.036147787,2.942958747,3.012024075,3.078726821
20,,3.128816709,3.088835709,3.10061057,3.114637569,,3.091564485,3.088664489,3.060313123,3.114647267,,3.036797565,3.00709045,3.04775004,3.114647267,,3.00374421,2.967395032,2.991374688,3.055378925
21,,3.074164397,3.041486859,3.110520242,3.138642248,,3.131657721,3.074843166,3.113805542,2.986265344,,3.082458731,3.016540202,3.056196095,2.986265344,,3.064449786,2.975731749,3.032848249,3.103025993
22,,3.100191984,3.073516252,3.077405122,3.12510023,,3.149611802,3.067006979,3.042862158,3.086079086,,3.057343136,3.058286949,3.068468007,3.086079086,,3.061865668,2.941882805,3.01158964,3.013348917
23,,3.117931254,3.120123557,3.110066129,3.178019553,,3.122151393,3.137600495,3.145012475,3.118459817,,3.077475218,3.063460126,3.089767944,3.118459817,,3.10680145,2.987047845,3.060227941,3.114702825
24,,3.128731835,3.097665236,3.116558745,3.18645238,,3.140030602,3.108292355,3.13717944,3.116856955,,3.09586067,3.059666806,3.108444742,3.116856955,,3.093090912,2.980289031,3.028126565,3.148397328
25,,3.183740764,3.120665476,3.148663161,3.184309267,,3.078709939,3.120525246,3.104853071,3.166310423,,3.106029142,3.104722204,3.098501196,3.166310423,,3.10838001,2.989943464,3.073372449,3.133993706
26,,3.194335805,3.178021079,3.186433046,3.191426348,,3.122250116,3.115892083,3.1279441,3.13510356,,3.102828964,3.120576838,3.133961302,3.13510356,,3.073758555,3.017506786,3.095753821,3.028128296
27,,3.182523952,3.148497684,3.124237046,3.209635774,,3.161779506,3.137127785,3.117042246,3.140998338,,3.073259319,3.112078091,3.100418333,3.140998338,,3.13065867,3.051944737,3.044542306,3.159836652
28,,3.161512547,3.12615836,3.170693089,3.194311881,,3.131195205,3.152164189,3.143225362,3.193640321,,3.140046857,3.137690438,3.131692563,3.193640321,,3.133999336,3.064087934,3.049644016,3.130402235
29,,3.112670737,3.134220014,3.158884616,3.213909183,,3.13401414,3.127021712,3.198773514,3.170302165,,3.189994461,3.125002334,3.163108039,3.170302165,,3.145305481,3.078285429,3.052981278,3.107775847
30,,3.251646158,3.203635081,3.186605253,3.277030986,,3.191898121,3.182068232,3.218197656,3.096132031,,3.167383847,3.123941885,3.164360014,3.096132031,,3.159917169,3.073253102,3.115397575,3.170112077
31,,3.234901885,3.189762658,3.249306281,3.2564442,,3.21861133,3.169891246,3.158712186,3.206856108,,3.118407958,3.166728198,3.173190896,3.206856108,,3.207156968,3.09228431,3.123096967,3.117563914
32,,3.217085552,3.176259439,3.199147065,3.230211927,,3.182310037,3.214063432,3.221990401,3.214748134,,3.197567207,3.172221558,3.184275907,3.214748134,,3.18825539,3.0521596,3.141399739,3.164184542
33,,3.231227595,3.211574823,3.191006883,3.208541248,,3.271057615,3.181157334,3.212119054,3.13040117,,3.178859797,3.212454742,3.201393556,3.13040117,,3.231118279,3.110367996,3.133924519,3.225504858
34,,3.254149086,3.203319567,3.237293769,3.254628557,,3.242585214,3.234303869,3.246983012,3.168502706,,3.200620626,3.239580887,3.224503808,3.168502706,,3.15691464,3.078051637,3.12198472,3.208508718
35,,3.278595048,3.254721962,3.241835778,3.262585922,,3.268336555,3.23747758,3.262705702,3.235823107,,3.222923155,3.19963749,3.213397878,3.235823107,,3.265551629,3.102137818,3.217606107,3.222799503
36,,3.279765939,3.248841502,3.260394666,3.250693361,,3.241567553,3.240990889,3.242654801,3.250730403,,3.206386358,3.165021433,3.214346998,3.250730403,,3.270942176,3.123018704,3.198286272,3.170146433
37,,3.279980228,3.245918588,3.284721665,3.286764724,,3.266686311,3.246452085,3.253448127,3.232615998,,3.215412624,3.23267036,3.256236006,3.232615998,,3.222971116,3.106261231,3.190755387,3.148994847
38,,3.300576173,3.253375373,3.292646077,3.23002431,,3.308534561,3.256436301,3.276646,3.262756359,,3.243235124,3.219890239,3.293015082,3.262756359,,3.284994638,3.161915461,3.207153252,3.193647187
39,,3.288965513,3.284907057,3.268434226,3.294815239,,3.308947539,3.27038465,3.28635664,3.168066135,,3.24047152,3.238302319,3.27905143,3.168066135,,3.292849931,3.143917821,3.224524711,3.202076818
40,,3.286422905,3.28457425,3.289538109,3.281302282,,3.284424348,3.300989151,3.294680213,3.270239073,,3.266752003,3.22659683,3.284546098,3.270239073,,3.27838828,3.172936754,3.252780335,3.230021807
41,,3.260675548,3.218647583,3.273506217,3.286810309,,3.276437365,3.300398384,3.284396461,3.233578886,,3.264452314,3.273681715,3.270485757,3.233578886,,3.300839514,3.174646041,3.231187582,3.1564617
42,,3.316841437,3.300878119,3.300215353,3.308534561,,3.308947539,3.292504486,3.257661499,3.264669922,,3.249090924,3.308534561,3.286921341,3.264669922,,3.292504486,3.171140356,3.253060864,3.001825152
43,,3.281933173,3.294210422,3.316841437,3.30888305,,3.251706894,3.308534561,3.316841437,3.292256965,,3.276758173,3.300789309,3.284702926,3.292256965,,3.295078859,3.202659352,3.272390918,3.266608505
44,,3.316841437,3.300909321,3.316841437,3.308705261,,3.308836507,3.316841437,3.30888305,3.278186691,,3.292667663,3.308947539,3.272574946,3.278186691,,3.294681284,3.229499969,3.292532637,3.266804541
45,,3.308534561,3.234811119,3.294079177,3.316841437,,3.316841437,3.308705261,3.30888305,3.316841437,,3.292532637,3.302639672,3.308747697,3.316841437,,3.308947539,3.229822608,3.294730369,3.286324035
46,,3.302215353,3.300893467,3.302611243,3.316841437,,3.297229954,3.278224442,3.292447187,3.281053928,,3.263753081,3.300746873,3.286847711,3.281053928,,3.30888305,3.218599654,3.289780387,3.161634501
47,,3.272981234,3.296638807,3.316841437,3.316841437,,3.316841437,3.280119689,3.316841437,3.30888305,,3.308534561,3.316841437,3.300989151,3.30888305,,3.308747697,3.228140737,3.27299023,3.233273103
48,,3.316841437,3.316841437,3.316841437,3.316841437,,3.308705261,3.308733412,3.316841437,3.316841437,,3.30290898,3.316841437,3.308733412,3.316841437,,3.308534561,3.278424348,3.292852975,3.216644947
49,,3.30090898,3.308534561,3.294509513,3.316841437,,3.282327053,3.316841437,3.300746873,3.30044082,,3.316841437,3.316841437,3.316841437,3.30044082,,3.300839514,3.262448467,3.30888305,3.264564788
50,,3.316841437,3.300853798,3.316841437,3.286811372,,3.316841437,3.30888305,3.308534561,3.316841437,,3.308534561,3.316841437,3.308534561,3.316841437,,3.308733412,3.235349789,3.294681284,3.228676593
51,,3.316841437,3.308806292,3.316841437,3.316841437,,3.316841437,3.29786563,3.316841437,3.263943668,,3.30888305,3.316841437,3.316841437,3.263943668,,3.316841437,3.276644153,3.308947539,3.197732765
52,,3.316841437,3.302639672,3.308836507,3.308705261,,3.316841437,3.316841437,3.316841437,3.316841437,,3.308534561,3.316841437,3.316841437,3.316841437,,3.316841437,3.275328559,3.316841437,3.280834615
53,,3.316841437,3.308733412,3.292325018,3.308584966,,3.316841437,3.316841437,3.316841437,3.282327053,,3.257218252,3.30888305,3.316841437,3.282327053,,3.316841437,3.30290898,3.30290898,3.280347414
54,,3.308836507,3.316841437,3.316841437,3.308705261,,3.30290898,3.308747697,3.316841437,3.300811363,,3.316841437,3.316841437,3.316841437,3.300811363,,3.316841437,3.300597236,3.316841437,3.250354165
55,,3.289669354,3.302639672,3.316841437,3.316841437,,3.316841437,3.308806292,3.316841437,3.270895593,,3.300426536,3.316841437,3.316841437,3.270895593,,3.316841437,3.295078859,3.308534561,3.280940397
56,,3.30888305,3.316841437,3.316841437,3.316841437,,3.316841437,3.308705261,3.316841437,3.308836507,,3.316841437,3.30888305,3.316841437,3.308836507,,3.316841437,3.286969436,3.316841437,3.265143523
57,,3.316841437,3.308947539,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.308747697,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.237622862
58,,3.308534561,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.268302005,,3.316841437,3.316841437,3.316841437,3.268302005,,3.316841437,3.316841437,3.316841437,3.270709315
59,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.30888305,3.316841437,3.29428885
60,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.294210422,,3.265086431,3.316841437,3.316841437,3.294210422,,3.316841437,3.30888305,3.316841437,3.286945328
61,,3.316841437,3.302215353,3.316841437,3.300555212,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.302639672,3.316841437,3.300398384
62,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.248673516
63,,3.316841437,3.316841437,3.316841437,3.308733412,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.308534561,3.316841437,,3.316841437,3.316841437,3.302215353,3.302215353
64,,3.308747697,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.270330248
65,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.308733412,3.308747697,,3.287840918,3.316841437,3.316841437,3.308747697,,3.316841437,3.308947539,3.316841437,3.288411162
66,,3.316841437,3.316841437,3.316841437,3.302816389,,3.316841437,3.316841437,3.316841437,3.308836507,,3.316841437,3.316841437,3.316841437,3.308836507,,3.316841437,3.316841437,3.316841437,3.265260953
67,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.273609161
68,,3.316841437,3.308747697,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.229888592
69,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300853798,,3.316841437,3.316841437,3.316841437,3.300853798,,3.316841437,3.316841437,3.316841437,3.302215353
70,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.30888305
71,,3.316841437,3.316841437,3.308747697,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.261944938
72,,3.308705261,3.316841437,3.308747697,3.316841437,,3.316841437,3.316841437,3.316841437,3.289267459,,3.316841437,3.316841437,3.316841437,3.289267459,,3.316841437,3.316841437,3.316841437,3.316841437
73,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.30888305,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
74,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.308747697,,3.30888305,3.316841437,3.316841437,3.286929815
75,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300989151
76,,3.316841437,3.316841437,3.316841437,3.30888305,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.28109525
77,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.26246912
78,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.308534561,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.295078859
79,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.280079728
80,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.30888305,3.316841437,3.316841437,3.289486112
81,,3.316841437,3.316841437,3.316841437,3.308705261,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.294391424
82,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.308733412,3.316841437,,3.316841437,3.316841437,3.316841437,3.266144682
83,,3.316841437,3.297536131,3.316841437,3.316841437,,3.316841437,3.316841437,3.308747697,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300640662
84,,3.30888305,3.308534561,3.308747697,3.316841437,,3.316841437,3.316841437,3.316841437,3.302639672,,3.316841437,3.316841437,3.316841437,3.302639672,,3.308836507,3.316841437,3.316841437,3.288744908
85,,3.316841437,3.316841437,3.300728482,3.316841437,,3.316841437,3.316841437,3.316841437,3.30052963,,3.316841437,3.316841437,3.316841437,3.30052963,,3.316841437,3.316841437,3.316841437,3.316841437
86,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.294634741,,3.316841437,3.316841437,3.316841437,3.294634741,,3.316841437,3.316841437,3.316841437,3.300878119
87,,3.30044082,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.30888305
88,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300989151
89,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
90,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
91,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.30090898
92,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300878119
93,,3.316841437,3.316841437,3.316841437,3.293168209,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308836507
94,,3.316841437,3.316841437,3.316841437,3.30888305,,3.316841437,3.308733412,3.308733412,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.296638807
95,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308947539,,3.316841437,3.316841437,3.316841437,3.308947539,,3.316841437,3.316841437,3.316841437,3.254037508
96,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308705261
97,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.316841437
98,,3.316841437,3.316841437,3.308584966,3.308705261,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.288276125
99,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308733412,,3.316841437,3.316841437,3.316841437,3.308733412,,3.316841437,3.316841437,3.316841437,3.316841437
